"KDF","Kouba","Kouba","Algeria","DZ",7.800000,15.650000,500,"Algerije",\N,\N,2589581
"CBH","Leger","Bechar","Algeria","DZ",31.650000,-2.250000,500,"Algerije",\N,2505530,2589581
"AAE","Les Salines","Annaba","Algeria","DZ",36.833333,8.000000,500,"Algerije","Annaba",2506999,2589581
"MUW","Mascara","Mascara","Algeria","DZ",35.750000,0.016667,500,"Algerije",\N,\N,2589581
"MZW","Mechria","Mechria","Algeria","DZ",33.550000,-0.283333,500,"Algerije",\N,\N,2589581
"MQV","Mostaganem","Mostaganem","Algeria","DZ",43.247778,17.785556,500,"Algerije",\N,\N,2589581
"INF","Newark Liberty International","In Guezzam","Algeria","DZ",19.566667,5.750000,500,"Algerije",\N,\N,2589581
"GHA","Noumerate","Ghardaia","Algeria","DZ",32.383333,3.816667,500,"Algerije",\N,\N,2589581
"HME","Oued Irara Apt","Hassi Messaoud","Algeria","DZ",31.666667,6.150000,500,"Algerije",\N,\N,2589581
"QSF","Setif","Setif","Algeria","DZ",36.191389,5.409444,500,"Algerije",\N,\N,2589581
"SKI","Skikda","Skikda","Algeria","DZ",36.869444,6.950000,500,"Algerije","Skikda",2479536,2589581
"TAF","Tafaraoui","Oran","Algeria","DZ",35.716667,-0.716667,500,"Algerije","Oran",2485926,2589581
"TMX","Timimoun","Timimoun","Algeria","DZ",29.250000,-0.250000,500,"Algerije",\N,2476403,2589581
"TIN","Tindouf","Tindouf","Algeria","DZ",27.674167,-8.147778,500,"Algerije",\N,\N,2589581
"TGR","Touggourt","Touggourt","Algeria","DZ",33.100000,6.066667,500,"Algerije",\N,2475475,2589581
"TLM","Zenata","Tlemcen","Algeria","DZ",34.878333,-1.315000,500,"Algerije","Tlemcen",2475687,2589581
"FTI","Fitiuta","Fitiuta","American Samoa","AS",-14.216667,-169.450000,5,"Amerikaans-Samoa",\N,\N,5880801
"PPG","International","Pago Pago","American Samoa","AS",-14.333333,-170.716667,5,"Amerikaans-Samoa",\N,5881576,5880801
"OFU","Ofu","Ofu","American Samoa","AS",-14.183333,-169.700000,5,"Amerikaans-Samoa",\N,\N,5880801
"TAV","Tau","Tau","American Samoa","AS",-14.229167,-169.511111,5,"Amerikaans-Samoa",\N,\N,5880801
"ALV","Andorra La Vella H/P","Andorra La Vella","Andorra","AD",42.500000,1.516667,0,"Andorra","Andorra la Vella",3041563,3041565
"LAD","4 de Fevereiro","Luanda","Angola","AO",-8.850000,13.233333,502,"Angola","Luanda",2240449,3351879
"AZZ","Ambriz","Ambriz","Angola","AO",-7.883333,13.150000,502,"Angola",\N,\N,3351879
"AAZ","Ambriz","Ambriz","Angola","AO",-7.862222,13.116111,127,"Angola",\N,\N,3351879
"ANL","Andulo","Andulo","Angola","AO",-11.500000,16.750000,502,"Angola",\N,\N,3351879
"CAB","Cabinda","Cabinda","Angola","AO",-5.550000,12.183333,502,"Angola",\N,2243271,3351879
"CFF","Cafunfo","Cafunfo","Angola","AO",-8.766667,18.000000,502,"Angola",\N,\N,3351879
"CNZ","Cangamba","Cangamba","Angola","AO",-13.683333,19.883333,502,"Angola",\N,\N,3351879
"KNP","Capanda","Capanda","Angola","AO",-9.766944,15.450278,502,"Angola",\N,\N,3351879
"CBT","Catumbela","Catumbela","Angola","AO",-12.483333,13.483333,502,"Angola",\N,3350246,3351879
"CAV","Cazombo","Cazombo","Angola","AO",-11.883333,22.933333,502,"Angola",\N,\N,3351879
"PGI","Chitato","Chitato","Angola","AO",-7.350000,20.950000,502,"Angola",\N,\N,3351879
"CTI","Cuito Cuanavale","Cuito Cuanavale","Angola","AO",-15.166667,19.166667,502,"Angola",\N,\N,3351879
"DRC","Dirico","Dirico","Angola","AO",-17.966667,20.783333,502,"Angola",\N,\N,3351879
"DUE","Dundo","Dundo","Angola","AO",-7.400000,20.816667,502,"Angola",\N,\N,3351879
"BUG","Gen V Deslandes","Benguela","Angola","AO",-12.608889,13.403611,502,"Angola","Benguela",3351663,3351879
"NOV","Huambo","Huambo","Angola","AO",-12.783333,15.766667,502,"Angola","Huambo",3348313,3351879
